iter	RMSE
0	0.8227209154
1	0.8059106481
2	0.7841826664
3	0.7651579889
4	0.745058299
5	0.7274401885
6	0.711471942
7	0.6964901067
8	0.6845960341
9	0.6754167715
10	0.6610635522
11	0.6450594084
12	0.6317158179
13	0.6211672967
14	0.6115106936
15	0.6026478065
16	0.5917639207
17	0.5812429125
18	0.5735989337
19	0.5669793117
20	0.5607029271
21	0.548006844
22	0.5382072801
23	0.5297696994
24	0.5245636457
25	0.5181170446
26	0.5139114563
27	0.5071547961
28	0.50224776
29	0.4968311842
30	0.4908373235
31	0.4868017559
32	0.4789922065
33	0.4718616753
34	0.4678104401
35	0.460989024
36	0.4542351211
37	0.4507181388
38	0.4424402529
39	0.4329560951
40	0.4236783482
41	0.416748658
42	0.4127349032
43	0.4075690659
44	0.4032838959
45	0.398626916
46	0.3932133864
47	0.3860316385
48	0.3824169315
49	0.3788147289
50	0.3780463042
51	0.3729672102
52	0.3695437976
53	0.3616360445
54	0.3558215234
55	0.3514608551
56	0.3480865643
57	0.3439666571
58	0.3350342603
59	0.332467642
60	0.3298878297
61	0.3236236642
62	0.3230921357
63	0.3187672915
64	0.3126420506
65	0.3090851799
66	0.304215394
67	0.3010301198
68	0.2956365077
69	0.2932541881
70	0.2873056741
71	0.2795751306
72	0.2750762578
73	0.2695859086
74	0.2655802247
75	0.2608647409
76	0.2541217215
77	0.2496250249
78	0.2461908866
79	0.2411240827
80	0.2376935649
81	0.2328313092
82	0.2295521111
83	0.2243814089
84	0.2201607951
85	0.2164502418
86	0.2133941821
87	0.2090577615
88	0.20589248
89	0.2040636385
90	0.199291439
91	0.1943037563
92	0.1903117299
93	0.1874659505
94	0.1840693839
95	0.1804264963
96	0.1793529727
97	0.1768991594
98	0.1747257086
99	0.1728627545
