iter	Passed	Remaining
0	3	317
1	6	305
2	10	325
3	13	313
4	16	310
5	18	295
6	21	283
7	24	279
8	26	270
9	29	263
10	32	259
11	34	254
12	37	251
13	39	244
14	42	239
15	44	234
16	47	230
17	49	227
18	52	221
19	54	216
20	56	212
21	58	207
22	60	203
23	62	199
24	65	195
25	67	192
26	69	188
27	72	185
28	74	181
29	76	178
30	78	174
31	80	171
32	83	169
33	85	166
34	86	160
35	89	158
36	91	155
37	93	152
38	96	150
39	98	148
40	100	144
41	102	141
42	105	139
43	107	136
44	109	133
45	111	130
46	113	128
47	115	125
48	118	122
49	120	120
50	122	117
51	124	114
52	126	112
53	128	109
54	130	106
55	132	104
56	135	102
57	137	99
58	139	97
59	141	94
60	144	92
61	146	89
62	148	87
63	150	84
64	152	82
65	155	79
66	157	77
67	159	74
68	161	72
69	163	70
70	166	67
71	168	65
72	171	63
73	173	60
74	175	58
75	178	56
76	180	53
77	182	51
78	184	49
79	187	46
80	189	44
81	191	42
82	193	39
83	196	37
84	198	35
85	200	32
86	203	30
87	205	28
88	207	25
89	209	23
90	211	20
91	213	18
92	215	16
93	217	13
94	219	11
95	221	9
96	223	6
97	225	4
98	227	2
99	230	0
